0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,prediction
3,4,4,0,3380,0,3,1,1,0,1,0,37,2,1,1,2,2,0,0,1
0,15,2,0,2511,0,0,1,1,0,4,2,23,2,0,1,2,1,0,0,1
3,10,2,8,894,4,3,4,1,0,3,1,40,2,1,1,2,1,1,0,1
0,14,2,0,3973,0,0,1,2,0,4,3,22,2,2,1,2,1,0,0,1
0,36,4,3,2348,0,2,3,3,0,2,1,46,2,1,2,2,1,1,0,1
3,10,2,4,1924,0,2,1,2,0,4,1,38,2,1,1,2,1,1,1,1
3,24,4,0,2463,1,3,4,3,0,3,1,27,2,1,2,2,1,1,0,1
3,24,4,3,1585,0,3,4,2,0,3,1,40,2,1,2,2,1,0,0,1
0,12,2,4,2214,0,2,4,2,0,3,1,24,2,1,1,1,1,0,0,1
0,12,2,3,1620,0,2,2,1,1,3,1,30,2,1,1,2,1,0,0,1
1,12,0,8,1410,0,2,2,2,0,2,0,31,2,1,1,1,1,1,0,1
2,24,2,4,5152,0,3,4,2,0,2,2,25,0,1,1,2,1,0,0,1
3,24,2,4,999,4,4,4,2,0,2,2,25,2,1,2,2,1,0,0,1
0,6,2,3,428,0,4,2,1,0,1,1,49,0,1,1,2,1,1,0,1
3,11,2,9,2142,3,4,1,0,0,2,0,28,2,1,1,2,1,1,0,1
1,27,2,9,3915,0,2,4,2,0,2,2,36,2,1,1,2,2,1,0,-1
0,24,2,3,2359,1,0,1,0,0,1,1,33,2,1,1,2,1,0,0,-1
1,12,2,0,1223,0,4,1,0,0,1,0,46,2,0,2,2,1,0,0,-1
0,42,2,4,3965,0,1,4,2,0,3,2,34,2,1,1,2,1,0,0,-1
0,12,2,0,900,4,2,4,3,0,2,2,23,2,1,1,2,1,0,0,-1
0,30,2,3,3108,0,1,2,0,0,4,1,31,2,1,1,1,1,0,0,-1
3,15,2,7,4623,1,2,3,2,0,2,1,40,2,1,1,3,1,1,0,-1
0,9,2,4,1366,0,1,3,1,0,4,1,22,2,0,1,2,1,0,0,-1
0,15,2,0,3959,0,2,3,1,0,2,1,29,2,1,1,2,1,1,0,-1
3,21,0,0,5003,4,2,1,1,0,4,1,29,0,1,2,2,1,1,0,-1
3,24,2,4,3621,1,4,2,2,0,4,2,31,2,1,2,2,1,0,0,-1
0,18,2,4,1345,0,2,4,3,0,3,0,26,0,1,1,2,1,0,0,-1
0,9,2,0,1422,0,1,3,2,0,2,3,27,2,2,1,3,1,1,0,-1
0,24,4,0,1199,0,4,4,2,0,4,2,60,2,1,2,1,1,0,0,-1
1,30,2,3,3441,1,2,2,1,1,4,2,21,2,0,1,2,1,0,0,-1
0,33,4,3,4281,2,2,1,1,0,4,2,23,2,1,2,2,1,0,0,-1
0,18,2,3,4153,0,2,2,2,1,3,2,42,2,1,1,2,1,0,0,-1
0,18,1,0,1442,0,3,4,2,0,4,3,32,2,2,2,1,2,0,0,-1
3,18,0,9,4165,0,2,2,2,0,2,2,36,1,1,2,2,2,0,0,-1
1,24,4,4,1216,1,1,4,2,0,4,3,38,0,1,2,2,2,0,0,-1
0,12,2,0,759,0,3,4,2,0,2,0,26,2,1,1,2,1,0,0,-1
1,48,0,9,3844,1,3,4,2,0,4,3,34,2,2,1,1,2,0,0,-1
1,9,1,0,1437,1,3,2,2,0,3,3,29,2,1,1,2,1,0,0,-1
3,18,3,3,1808,0,3,4,1,0,1,0,22,2,1,1,2,1,0,0,-1
0,24,1,2,1358,4,4,4,2,0,3,2,40,1,1,1,3,1,1,0,-1
2,10,2,0,1240,1,4,1,1,0,4,3,48,2,2,1,1,2,0,0,-1
0,36,3,9,2145,0,3,2,2,0,1,2,24,2,1,2,2,1,1,0,-1
0,45,2,4,1845,0,2,4,2,0,4,3,23,2,2,1,2,1,1,0,-1
1,48,2,4,3060,0,3,4,2,0,4,0,28,2,1,2,2,1,0,0,-1
0,30,2,6,11998,0,1,1,0,0,1,3,34,2,1,1,1,1,1,0,-1
1,9,2,3,959,0,2,1,1,0,2,2,29,2,1,1,2,1,0,1,-1
0,18,0,3,3114,0,1,1,1,0,4,1,26,2,0,1,2,1,0,0,-1
0,48,4,1,6331,0,4,4,2,0,4,3,46,2,2,2,2,1,1,0,-1
1,24,2,3,4057,0,3,3,0,0,3,2,43,2,1,1,2,1,1,0,-1
1,24,0,9,4241,0,2,1,2,0,4,0,36,2,1,3,1,1,1,0,-1
1,15,2,4,802,0,4,4,2,0,3,2,37,2,1,1,2,2,0,0,-1
3,18,2,0,6761,4,2,2,2,0,4,2,68,2,0,2,2,1,0,0,-1
0,12,2,0,1274,0,1,3,1,0,1,0,37,2,1,1,1,1,0,0,-1
0,48,2,4,6758,0,2,3,1,0,2,2,31,2,1,1,2,1,1,0,-1
1,12,2,0,888,0,4,4,2,0,4,2,41,0,1,1,1,2,0,0,-1
3,24,2,4,2397,2,4,3,2,0,2,2,35,0,1,2,2,1,1,0,-1
0,24,2,0,1207,0,1,4,1,0,4,1,24,2,0,1,2,1,0,0,-1
0,18,1,3,1553,0,2,4,2,0,3,2,44,0,1,1,2,1,0,0,-1
3,36,3,9,7980,4,1,4,2,0,4,2,27,2,0,2,2,1,1,0,-1
0,12,0,4,6199,0,2,4,2,0,2,1,28,2,0,2,2,1,1,0,-1
1,36,2,6,2384,0,1,4,2,0,1,3,33,2,0,1,1,1,0,0,-1
0,36,4,3,6229,0,1,4,1,1,4,3,23,2,0,2,1,1,1,0,-1
1,18,2,3,1924,4,1,4,1,0,3,0,27,2,0,1,2,1,0,0,-1
1,24,4,3,4736,0,1,2,1,0,4,2,25,0,1,1,1,1,0,0,-1
0,36,2,0,9271,0,3,2,2,0,1,2,24,2,1,1,2,1,1,0,-1
1,18,2,1,12976,0,0,3,1,0,4,3,38,2,2,1,3,1,1,0,-1
1,48,1,9,6416,0,4,4,1,0,3,3,59,2,0,1,2,1,0,0,-1
0,18,2,7,750,0,0,4,1,0,1,0,27,2,1,1,0,1,0,0,-1
3,12,2,0,1386,2,2,2,1,0,2,1,26,2,1,1,2,1,0,0,-1
0,12,2,5,741,1,0,4,1,0,3,1,22,2,1,1,2,1,0,0,-1
2,12,1,9,609,0,1,4,1,0,1,0,26,2,1,1,0,1,0,0,-1
1,48,3,7,6224,0,4,4,2,0,4,3,50,2,2,1,2,1,0,0,-1
0,36,2,0,1842,0,1,4,1,0,4,2,34,2,1,1,2,1,1,0,-1
0,48,4,1,6143,0,4,4,1,0,4,3,58,1,2,2,1,1,0,0,-1
0,24,2,3,3234,0,1,4,1,0,4,0,23,2,0,1,1,1,1,0,-1
3,12,4,3,1592,3,3,3,1,0,2,1,35,2,1,1,2,1,0,1,1
3,24,2,1,2670,0,4,4,2,0,4,2,35,2,1,1,3,1,1,0,1
3,21,2,9,1572,3,4,4,1,0,4,0,36,0,1,1,1,1,0,0,1
1,6,4,8,932,4,3,1,1,0,3,1,39,2,1,2,1,1,0,0,1
0,39,4,3,14179,4,3,4,2,0,4,1,30,2,1,2,3,1,1,0,1
1,18,2,6,3872,0,0,2,1,0,4,2,67,2,1,1,2,1,1,0,1
1,15,4,4,2728,4,3,4,2,2,2,0,35,0,1,3,2,1,1,0,1
3,24,4,4,2872,1,4,3,2,0,4,0,36,2,1,1,2,2,1,0,1
3,36,2,0,3079,4,2,4,2,0,4,0,36,2,1,1,2,1,0,0,1
0,9,4,6,1288,1,4,3,2,2,4,0,48,2,1,2,2,2,0,1,1
1,12,4,1,1804,1,1,3,2,0,4,1,44,2,1,1,2,1,0,0,1
1,36,4,1,5800,0,2,3,2,0,4,2,34,2,1,2,2,1,1,0,1
0,36,4,3,5371,0,2,3,2,2,2,1,28,2,1,2,2,1,0,0,1
0,24,4,1,2957,0,4,4,2,0,4,1,63,2,1,2,2,1,1,0,1
3,18,4,4,1169,4,2,4,2,0,3,1,29,2,1,2,2,1,1,0,1
0,18,4,4,1880,0,3,4,3,0,1,1,32,2,1,2,3,1,1,0,1
3,48,4,9,7629,4,4,4,0,0,2,2,46,0,1,2,3,2,0,0,1
1,18,2,4,1301,0,4,4,3,2,2,0,32,2,1,1,1,1,0,0,1
1,6,2,4,590,0,1,3,3,0,3,0,26,2,1,1,1,1,0,1,1
3,12,4,0,926,0,0,1,1,0,2,1,38,2,1,1,0,1,0,0,1
1,36,1,5,3990,4,1,3,1,0,2,3,29,0,1,1,0,1,0,0,1
1,36,2,4,2323,0,3,4,2,0,4,2,24,2,0,1,2,1,0,0,1
3,24,2,0,7393,0,2,1,2,0,4,1,43,2,1,1,1,2,0,0,1
3,12,4,3,1935,0,4,4,2,0,4,0,43,2,1,3,2,1,1,0,1
3,24,2,1,7814,0,3,3,2,0,3,2,38,2,1,1,3,1,1,0,1
0,11,4,0,3939,0,2,1,2,0,2,0,40,2,1,2,1,2,0,0,1
1,6,2,4,1068,0,4,4,2,0,4,2,28,2,1,1,2,2,0,0,1
1,27,3,1,5965,0,4,1,2,0,2,2,30,2,1,2,3,1,1,0,1
3,36,4,1,10477,4,4,2,2,0,4,3,42,2,2,2,2,1,0,0,1
3,36,2,1,8133,0,2,1,1,0,2,1,30,0,1,1,2,1,0,0,1
3,12,2,4,3077,0,2,2,2,0,4,2,52,2,1,1,2,1,1,0,1
3,7,4,4,730,4,4,4,2,0,2,1,46,2,0,2,1,1,1,0,1
3,42,2,4,7166,4,3,2,3,0,4,1,29,2,0,1,2,1,1,0,1
3,18,4,4,1098,0,0,4,1,0,4,2,65,2,1,2,0,1,0,0,1
1,18,2,9,4439,0,4,1,2,1,1,0,33,0,1,1,3,1,1,0,1
1,30,4,0,2181,4,4,4,2,0,4,0,36,2,1,2,2,1,0,0,1
1,9,2,9,1391,0,2,2,3,0,1,0,27,0,1,1,2,1,1,0,1
3,15,4,4,1829,0,4,4,2,0,4,2,46,2,1,2,2,1,1,0,1
1,24,3,4,1553,1,3,3,1,0,2,1,23,2,0,2,2,1,1,0,1
3,30,2,1,4811,4,3,2,1,0,4,1,24,1,0,1,1,1,0,0,1
3,12,4,4,976,4,4,4,2,0,4,2,35,2,1,2,2,1,0,0,1
0,24,1,3,2483,2,2,4,2,0,4,0,22,1,1,1,2,1,1,0,1
0,24,2,9,6568,0,2,2,3,0,2,2,21,1,1,1,1,1,0,0,1
1,21,3,0,2353,0,2,1,0,0,4,1,47,2,1,2,2,1,0,0,1
1,12,2,0,1318,3,4,4,2,0,4,0,54,2,1,1,2,1,1,0,1
1,8,2,9,907,0,1,3,3,0,2,0,26,2,1,1,2,1,1,0,1
3,24,3,9,2978,4,2,4,2,0,4,0,32,2,1,2,2,2,1,0,1
0,21,2,0,3763,4,3,2,2,1,2,0,24,2,1,1,1,1,0,1,1
3,39,2,1,8588,1,4,4,2,0,2,2,45,2,1,1,3,1,1,0,1
3,6,0,0,1204,1,2,4,2,0,1,3,35,0,0,1,2,1,0,1,1
3,24,4,9,4526,0,2,3,2,0,2,0,74,2,1,1,3,1,1,0,1
3,6,2,3,2978,2,2,1,2,0,2,2,32,2,1,1,2,1,1,0,1
3,30,2,4,2333,2,4,4,2,0,2,2,30,0,1,1,3,1,0,0,1
0,20,4,3,4272,0,4,1,1,0,4,1,24,2,1,2,2,1,0,0,1
0,12,4,1,1526,0,4,4,2,0,4,3,66,2,2,2,3,1,0,0,1
3,12,2,0,2859,4,0,4,2,0,4,3,38,2,1,1,3,1,1,0,1
3,24,4,4,1516,3,2,4,1,0,1,0,43,2,1,2,1,1,0,0,1
2,36,2,4,4473,0,4,4,2,0,2,2,31,2,1,1,2,1,0,0,1
1,9,2,0,1549,4,1,4,2,0,2,0,35,2,1,1,0,1,0,0,1
0,12,4,0,2122,0,2,3,2,0,2,0,39,2,0,2,1,2,0,1,1
0,21,4,0,1602,0,4,4,3,0,3,2,30,2,1,2,2,1,1,0,1
3,15,2,4,1386,4,2,4,3,0,2,0,40,2,0,1,2,1,1,0,1
0,24,2,2,1755,0,4,4,1,2,4,0,58,2,1,1,1,1,1,0,1
0,12,2,3,2578,0,0,3,1,0,4,3,55,2,2,1,3,1,0,0,1
3,18,2,9,1568,1,2,3,1,0,4,1,24,2,0,1,1,1,0,0,1
3,36,2,4,2394,4,2,4,1,0,4,2,25,2,1,1,2,1,0,0,1
0,15,2,3,1845,0,1,4,1,2,1,1,46,2,0,1,2,1,0,0,1
2,36,2,4,3913,0,2,2,2,0,2,0,23,2,1,1,2,1,1,0,1
3,36,4,0,6614,0,4,4,2,0,4,2,34,2,1,2,3,1,1,0,1
1,9,2,4,790,2,2,4,1,0,3,0,66,2,1,1,1,1,0,0,1
0,18,1,4,1940,0,1,3,2,1,4,3,36,0,2,1,3,1,1,0,1
1,9,2,4,1206,0,4,4,1,0,4,0,25,2,1,1,2,1,0,0,1
3,15,2,1,3812,1,1,1,1,0,4,2,23,2,1,1,2,1,1,0,1
3,9,4,7,936,2,4,4,2,0,2,2,52,2,1,2,2,1,1,0,1
0,8,4,2,1164,0,4,3,2,0,4,3,51,0,2,2,3,2,1,0,1
3,36,4,0,3535,0,3,4,2,0,4,2,37,2,1,2,2,1,1,0,1
3,24,2,0,1393,0,2,2,2,2,2,0,31,2,1,1,2,1,1,0,1
3,6,2,4,518,0,2,3,1,0,1,0,29,2,1,1,2,1,0,0,1
3,18,4,4,2238,0,2,2,1,0,1,2,25,2,1,2,2,1,0,0,1
1,20,2,1,6468,4,0,1,0,0,4,0,60,2,1,1,3,1,1,0,1
3,24,2,1,3488,1,3,3,1,0,4,2,23,2,1,1,2,1,0,0,1
3,10,4,3,2069,4,2,2,3,0,1,2,26,2,1,2,2,1,0,1,1
3,24,3,0,2032,0,4,4,2,0,4,3,60,2,2,2,2,1,1,0,1
3,12,4,7,2096,0,3,2,2,0,3,0,49,2,1,1,1,2,0,0,1
3,14,3,0,802,0,2,4,2,0,2,2,27,2,1,2,1,1,0,0,1
1,18,4,3,1295,0,1,4,1,0,1,1,27,2,1,2,2,1,0,0,1
3,6,4,4,1382,0,2,1,1,0,1,2,28,2,1,2,2,1,1,0,1
3,18,4,0,1028,0,2,4,1,0,3,0,36,2,1,2,2,1,0,0,1
1,12,4,5,1424,0,3,4,2,0,3,1,26,2,1,1,2,1,0,0,1
1,48,2,2,5381,4,0,3,2,0,4,3,40,0,2,1,0,1,1,0,1
3,36,2,7,9055,4,2,2,2,0,4,3,35,2,2,1,1,2,1,0,1
3,24,2,1,9277,4,2,2,0,0,4,3,48,2,2,1,2,1,1,0,1
0,24,2,1,6579,0,0,4,2,0,2,3,29,2,2,1,3,1,1,0,1
3,12,4,7,701,0,2,4,2,0,2,2,32,2,1,2,2,1,0,0,1
0,12,4,0,2171,0,2,4,2,0,4,1,38,0,1,2,1,1,0,1,1
1,12,2,4,1155,0,4,3,3,2,3,0,40,0,1,2,1,1,0,0,1
0,24,2,1,2924,0,2,3,2,2,4,3,63,0,1,1,2,2,1,0,1
1,21,4,9,3652,0,3,2,2,0,3,1,27,2,1,2,2,1,0,0,1
1,12,4,0,958,0,3,2,2,0,3,0,47,2,1,2,1,2,0,0,1
1,12,2,4,1103,0,3,4,2,2,3,0,29,2,1,2,2,1,0,1,1
3,36,2,4,3595,0,4,4,2,0,2,2,28,2,1,1,2,1,0,0,1
0,18,4,3,1049,0,1,4,1,0,4,1,21,2,0,1,2,1,0,0,1
1,48,1,9,3566,1,3,4,2,0,2,2,30,2,1,1,2,1,0,0,1
3,12,1,8,3447,2,2,4,1,0,3,0,35,2,1,1,1,2,0,0,1
2,24,4,9,1275,3,2,2,0,0,4,0,36,2,1,2,2,1,1,0,1
3,24,4,4,5103,0,1,3,3,0,3,3,47,2,2,3,2,1,1,0,1
0,12,2,0,1168,0,2,4,3,0,3,0,27,2,1,1,1,1,0,0,1
0,6,4,0,666,3,3,3,1,0,4,0,39,2,1,2,1,1,1,0,1
1,15,2,4,1444,4,1,4,2,0,1,1,23,2,1,1,2,1,0,0,1
3,36,3,1,8947,4,3,3,2,0,2,2,31,1,1,1,3,2,1,0,1
1,24,2,3,4351,4,2,1,1,0,4,1,48,2,1,1,1,1,1,0,1
1,11,3,4,4771,0,3,2,2,0,4,1,51,2,1,1,2,1,0,0,1
1,7,2,4,2576,0,2,2,2,2,2,0,35,2,1,1,2,1,0,0,1
1,13,2,4,2101,0,1,2,1,2,4,1,23,2,1,1,1,1,0,0,1
3,20,4,0,3485,4,1,2,0,0,4,0,44,2,1,2,2,1,1,0,1
0,27,2,4,3416,0,2,3,2,0,2,2,27,2,1,1,3,1,0,0,1
3,27,2,6,5190,4,4,4,2,0,4,1,48,2,1,4,2,2,1,0,1
3,24,4,4,2578,3,4,2,2,0,2,2,34,2,1,1,2,1,0,0,1
0,24,4,4,1231,3,4,4,1,0,4,1,57,2,0,2,3,1,1,0,1
3,6,2,4,1346,1,4,2,2,0,4,3,42,0,2,1,2,2,1,0,1
1,24,3,4,6403,0,1,1,2,0,2,2,33,2,1,1,2,1,0,0,1
3,24,4,1,6842,4,2,2,2,0,4,1,46,2,1,2,3,2,1,0,1
3,12,4,9,1412,0,2,4,1,2,2,0,29,2,1,2,3,1,1,0,1
0,6,2,5,343,0,1,4,1,0,1,0,27,2,1,1,2,1,0,0,1
1,18,0,3,3244,0,2,1,1,0,4,2,33,0,1,2,2,1,1,0,1
1,48,3,2,7582,1,0,2,2,0,4,3,31,2,2,1,3,1,1,0,1
3,22,2,0,1283,4,3,4,1,0,4,1,25,2,0,1,2,1,0,0,1
1,36,2,1,6948,0,2,2,2,0,2,2,35,2,0,1,3,1,1,0,1
3,12,2,0,640,0,2,4,0,0,2,0,49,2,1,1,1,1,0,0,1
1,36,2,4,4795,0,1,4,1,0,1,3,30,2,1,1,3,1,1,0,1
1,27,2,9,2528,0,1,4,1,0,1,1,32,2,1,1,2,2,1,0,1
3,12,4,3,5801,4,4,2,2,0,4,1,49,2,0,1,2,1,1,0,1
0,18,2,3,2659,3,2,4,2,0,2,2,28,2,1,1,2,1,0,0,1
3,12,4,9,1185,0,2,3,1,0,2,0,27,2,1,2,2,1,0,0,1
3,15,3,4,1478,0,2,4,3,0,3,0,33,0,1,2,2,1,0,0,1
3,12,3,1,1503,0,2,4,3,0,4,0,41,2,0,1,2,1,0,0,1
0,47,2,0,10722,0,1,1,1,0,1,0,35,2,1,1,1,1,1,0,1
3,6,2,3,1766,0,2,1,3,0,2,1,21,2,0,1,2,1,0,0,1
3,24,2,4,1311,1,3,4,3,0,3,1,26,2,1,1,2,1,1,0,1
1,20,3,1,7057,4,3,3,2,0,4,1,36,0,0,2,3,2,1,0,1
1,54,0,9,15945,0,1,3,2,0,4,3,58,2,0,1,2,1,1,0,-1
0,18,2,4,1882,0,2,4,1,0,4,2,25,0,0,2,2,1,0,0,-1
0,36,2,1,8229,0,2,2,2,0,2,1,26,2,1,1,2,2,0,0,-1
0,12,2,7,795,0,1,4,1,0,4,1,53,2,1,1,2,1,0,0,-1
2,15,4,4,1271,4,2,3,2,0,4,3,39,2,2,2,2,1,1,0,-1
0,12,2,4,727,1,1,4,3,0,3,3,33,2,1,1,1,1,1,0,-1
1,36,3,0,8086,1,4,2,2,0,4,2,42,2,1,4,3,1,1,0,-1
0,20,4,0,2235,0,2,4,3,2,2,1,33,0,0,2,2,1,0,1,-1
1,36,2,4,2671,1,2,4,1,1,4,3,50,2,2,1,2,1,0,0,-1
1,24,2,1,4113,2,1,3,1,0,4,2,28,2,0,1,2,1,0,0,-1
0,12,0,0,1082,0,2,4,2,0,4,2,48,0,1,2,2,1,0,0,-1
3,48,2,9,4844,0,0,3,2,0,2,2,33,0,0,1,3,1,1,0,-1
0,6,1,7,1198,0,4,4,1,0,4,3,35,2,2,1,2,1,0,0,-1
1,15,0,0,1778,0,1,2,1,0,1,0,26,2,0,2,0,1,0,0,-1
1,9,2,4,1670,0,1,4,1,0,2,2,22,2,1,1,2,1,1,0,-1
1,48,2,4,10961,3,3,1,2,1,2,3,27,0,1,2,2,1,1,0,-1
1,15,1,0,1264,1,2,2,3,0,2,1,25,2,0,1,2,1,0,0,-1
0,36,4,1,9629,0,3,4,2,0,4,2,24,2,1,2,2,1,1,0,-1
1,36,2,3,9034,1,1,4,2,1,1,3,29,2,0,1,3,1,1,0,-1
0,18,4,3,2124,0,2,4,1,0,4,0,24,2,0,2,2,1,0,0,-1
1,30,4,0,5234,0,0,4,3,0,2,2,28,2,1,2,3,1,0,0,-1
1,36,2,7,12612,1,2,1,2,0,4,3,47,2,2,1,2,2,1,0,-1
0,12,2,7,684,0,2,4,2,0,4,2,40,2,0,1,1,2,0,0,-1
2,9,0,4,1337,0,1,4,2,0,2,2,34,2,1,2,3,1,1,0,-1
0,60,2,9,7297,0,4,4,2,1,4,3,36,2,0,1,2,1,0,0,-1
1,36,0,4,3804,0,2,4,1,0,1,2,42,2,1,1,2,1,1,0,-1
0,18,2,3,2039,0,2,1,1,0,4,0,20,0,0,1,2,1,0,0,-1
1,36,3,9,4455,0,2,2,0,0,2,0,30,1,1,2,3,1,1,0,-1
3,18,2,6,1943,0,1,4,1,0,4,0,23,2,1,1,2,1,0,0,-1
0,12,4,0,3499,0,2,3,1,1,2,0,29,2,1,2,2,1,0,0,-1
2,15,2,4,2327,0,1,2,1,0,3,0,25,2,1,1,1,1,0,0,-1
0,6,4,3,3384,0,2,1,0,0,4,0,44,2,0,1,3,1,1,0,-1
0,24,3,0,4870,0,2,3,2,0,4,3,53,2,2,2,2,2,0,0,-1
0,48,2,1,10297,0,3,4,2,0,4,3,39,1,2,3,2,2,1,0,-1
1,39,4,4,4933,0,3,2,2,2,2,0,25,2,1,2,2,1,0,0,-1
0,18,2,3,1131,0,0,4,1,0,2,2,33,2,1,1,2,1,0,0,-1
1,72,2,4,5595,1,2,2,3,0,2,2,24,2,1,1,2,1,0,0,-1
0,12,1,0,697,0,1,4,2,0,2,2,46,0,1,2,2,1,1,0,-1
0,24,1,3,3349,2,1,4,2,0,4,3,30,2,2,1,2,2,1,0,-1
1,45,2,4,3031,1,2,4,2,2,4,1,21,2,0,1,2,1,0,0,-1
1,30,4,0,4249,0,0,4,3,0,2,2,28,2,1,2,3,1,0,0,-1
0,12,2,1,3386,0,4,3,2,0,4,3,35,2,2,1,2,1,1,0,-1
1,12,2,4,1331,0,1,2,2,0,1,2,22,1,1,1,2,1,0,0,-1
0,36,2,3,5179,0,3,4,2,0,2,1,29,2,1,1,2,1,0,0,-1
3,10,2,0,1309,4,2,4,2,2,4,1,27,2,1,1,1,1,0,0,-1
1,24,2,4,3092,1,1,3,3,0,2,2,22,2,0,1,2,1,1,0,-1
0,21,1,0,1647,4,2,4,2,0,2,1,40,2,1,2,1,2,0,0,-1
0,18,2,4,3190,0,2,2,1,0,2,0,24,2,1,1,2,1,0,0,-1
0,12,2,3,1282,0,2,2,1,0,4,2,20,2,0,1,2,1,0,0,-1
0,42,3,4,4370,0,3,3,2,0,2,1,26,0,1,2,2,2,1,0,-1
1,9,1,1,5129,0,4,2,1,0,4,3,74,0,2,1,3,2,1,0,-1
3,24,3,9,8648,0,1,2,2,0,2,2,27,0,1,2,2,1,1,0,-1
0,6,2,7,448,0,1,4,1,0,4,1,23,2,1,1,2,1,0,0,-1
1,27,0,9,8318,0,4,2,1,0,4,3,42,2,2,2,3,1,1,0,-1
0,12,2,3,7865,0,4,4,2,0,4,3,53,2,2,1,3,1,1,0,-1
0,48,2,4,6999,0,3,1,3,2,1,0,34,2,1,2,2,1,1,0,-1
0,24,2,3,2996,4,2,2,3,0,4,2,20,2,1,1,2,1,0,0,-1
0,36,1,3,2746,0,4,4,2,0,4,2,31,0,1,1,2,1,0,0,-1
0,27,0,9,5293,0,0,2,2,0,4,1,50,1,1,2,2,1,1,0,-1
0,24,1,3,6872,0,1,2,0,0,1,1,55,0,1,1,2,1,1,0,-1
2,6,4,7,1047,0,2,2,1,0,4,1,50,2,1,1,1,1,0,0,1
1,18,4,3,3612,0,4,3,1,0,4,1,37,2,1,1,2,1,1,0,1
0,15,4,3,1478,0,4,4,2,0,4,2,44,2,1,2,2,2,1,0,1
3,24,2,0,1249,0,1,4,3,0,2,0,28,2,1,1,2,1,0,0,1
0,24,2,1,2910,0,3,2,2,0,1,3,34,2,2,1,3,1,1,0,1
3,24,4,4,2424,4,4,4,2,0,4,1,53,2,1,2,2,1,0,0,1
3,18,2,4,1453,0,1,3,1,0,1,0,26,2,1,1,2,1,0,0,1
0,12,2,4,1107,0,2,2,2,0,2,0,20,2,0,1,3,2,1,0,1
3,30,2,4,1867,4,4,4,2,0,4,2,58,2,1,1,2,1,1,0,1
0,24,2,3,4169,0,2,4,2,0,4,1,28,2,1,1,2,1,0,0,1
0,24,2,4,3660,0,2,2,1,0,4,2,28,2,1,1,2,1,0,0,1
0,6,4,0,1361,0,1,2,2,0,4,0,40,2,1,1,1,2,0,1,1
1,18,2,3,3001,0,3,2,1,0,4,0,40,2,0,1,2,1,0,0,1
3,12,2,1,1413,3,3,3,2,0,2,1,55,2,1,1,2,1,0,1,1
3,10,2,0,1364,0,2,2,1,0,4,2,64,2,1,1,2,1,1,0,1
3,18,4,4,1149,3,2,4,2,0,3,0,46,2,1,2,2,1,0,0,1
0,15,2,9,806,0,2,4,1,0,4,1,22,2,1,1,1,1,0,0,1
0,24,2,3,7721,4,1,1,1,0,2,1,30,2,1,1,2,1,1,1,1
3,24,1,9,1559,0,3,4,2,0,4,2,50,0,1,1,2,1,1,0,1
3,60,3,4,15653,0,3,2,2,0,4,2,21,2,1,2,2,1,1,0,1
